rosettacode_name,rosettacode_url,rosettacode_summary,rosettacode_tasks_count
.QL,https://rosettacode.org/wiki/.QL,,0
0815,https://rosettacode.org/wiki/0815,,16
11l,https://rosettacode.org/wiki/11l,,1016
1C,https://rosettacode.org/wiki/1C,,2
360 Assembly,https://rosettacode.org/wiki/360_Assembly,,220
4D,https://rosettacode.org/wiki/4D,,5
4DOS Batch,https://rosettacode.org/wiki/4DOS_Batch,,6
4ME,https://rosettacode.org/wiki/4ME,,6
6502 Assembly,https://rosettacode.org/wiki/6502_Assembly,,129
6800 Assembly,https://rosettacode.org/wiki/6800_Assembly,,4
68000 Assembly,https://rosettacode.org/wiki/68000_Assembly,,108
8 1/2,https://rosettacode.org/wiki/8_1/2,,0
80386 Assembly,https://rosettacode.org/wiki/80386_Assembly,,1
8051 Assembly,https://rosettacode.org/wiki/8051_Assembly,,9
8080 Assembly,https://rosettacode.org/wiki/8080_Assembly,,116
8086 Assembly,https://rosettacode.org/wiki/8086_Assembly,,124
8th,https://rosettacode.org/wiki/8th,,91
A+,https://rosettacode.org/wiki/A+,,0
AArch64 Assembly,https://rosettacode.org/wiki/AArch64_Assembly,,244
ABAP,https://rosettacode.org/wiki/ABAP,,70
ABC,https://rosettacode.org/wiki/ABC,,54
ACL2,https://rosettacode.org/wiki/ACL2,,96
AHDL,https://rosettacode.org/wiki/AHDL,,0
AIDED NATURAL LANGUAGE,https://rosettacode.org/wiki/AIDED_NATURAL_LANGUAGE,,0
ALGOL,https://rosettacode.org/wiki/ALGOL,,0
ALGOL 60,https://rosettacode.org/wiki/ALGOL_60,,70
ALGOL 68,https://rosettacode.org/wiki/ALGOL_68,,1124
ALGOL W,https://rosettacode.org/wiki/ALGOL_W,,347
ALGOL-M,https://rosettacode.org/wiki/ALGOL-M,,56
AMPL,https://rosettacode.org/wiki/AMPL,,1
ANSI BASIC,https://rosettacode.org/wiki/ANSI_BASIC,,65
ANT,https://rosettacode.org/wiki/ANT,"See:

Category:ANT
Category:Apache Ant",0
ANTLR,https://rosettacode.org/wiki/ANTLR,,6
APL,https://rosettacode.org/wiki/APL,,327
ARM Assembly,https://rosettacode.org/wiki/ARM_Assembly,,280
ASIC,https://rosettacode.org/wiki/ASIC,,30
ASP,https://rosettacode.org/wiki/ASP,,1
ASP.Net,https://rosettacode.org/wiki/ASP.Net,,0
ATS,https://rosettacode.org/wiki/ATS,,143
AWK,https://rosettacode.org/wiki/AWK,,717
Acornsoft Lisp,https://rosettacode.org/wiki/Acornsoft_Lisp,,17
Action!,https://rosettacode.org/wiki/Action!,,540
ActionScript,https://rosettacode.org/wiki/ActionScript,,118
Acurity Architect,https://rosettacode.org/wiki/Acurity_Architect,,3
Ada,https://rosettacode.org/wiki/Ada,,1054
Adina,https://rosettacode.org/wiki/Adina,,5
Agda,https://rosettacode.org/wiki/Agda,,17
Agda2,https://rosettacode.org/wiki/Agda2,,0
Agena,https://rosettacode.org/wiki/Agena,,134
Aikido,https://rosettacode.org/wiki/Aikido,,38
Aime,https://rosettacode.org/wiki/Aime,,166
Algae,https://rosettacode.org/wiki/Algae,,2
Alice ML,https://rosettacode.org/wiki/Alice_ML,,0
Alore,https://rosettacode.org/wiki/Alore,,6
Amazing Hopper,https://rosettacode.org/wiki/Amazing_Hopper,,127
AmbientTalk,https://rosettacode.org/wiki/AmbientTalk,,4
AmigaBASIC,https://rosettacode.org/wiki/AmigaBASIC,,17
AmigaE,https://rosettacode.org/wiki/AmigaE,,32
AngelScript,https://rosettacode.org/wiki/AngelScript,,2
Anyways,https://rosettacode.org/wiki/Anyways,,1
Apex,https://rosettacode.org/wiki/Apex,,38
App Inventor,https://rosettacode.org/wiki/App_Inventor,,10
Apple,https://rosettacode.org/wiki/Apple,,8
AppleScript,https://rosettacode.org/wiki/AppleScript,,476
Applesoft BASIC,https://rosettacode.org/wiki/Applesoft_BASIC,,347
Application Master,https://rosettacode.org/wiki/Application_Master,,0
Apricot,https://rosettacode.org/wiki/Apricot,,1
Aquarius BASIC,https://rosettacode.org/wiki/Aquarius_BASIC,,8
Arbre,https://rosettacode.org/wiki/Arbre,,4
Arc,https://rosettacode.org/wiki/Arc,,15
Arendelle,https://rosettacode.org/wiki/Arendelle,,11
Argile,https://rosettacode.org/wiki/Argile,,18
Aria,https://rosettacode.org/wiki/Aria,,2
ArkScript,https://rosettacode.org/wiki/ArkScript,,101
ArnoldC,https://rosettacode.org/wiki/ArnoldC,,12
Arturo,https://rosettacode.org/wiki/Arturo,,800
AsciiDots,https://rosettacode.org/wiki/AsciiDots,,10
AspectC++,https://rosettacode.org/wiki/AspectC++,,0
AspectJ,https://rosettacode.org/wiki/AspectJ,,1
Assembly,https://rosettacode.org/wiki/Assembly,,3
AssemblyScript,https://rosettacode.org/wiki/AssemblyScript,,0
Astro,https://rosettacode.org/wiki/Astro,,23
Asymptote,https://rosettacode.org/wiki/Asymptote,,64
Atari BASIC,https://rosettacode.org/wiki/Atari_BASIC,,22
AutoHotKey V2,https://rosettacode.org/wiki/AutoHotKey_V2,,1
AutoHotkey,https://rosettacode.org/wiki/AutoHotkey,,823
AutoIt,https://rosettacode.org/wiki/AutoIt,,94
AutoLISP,https://rosettacode.org/wiki/AutoLISP,,10
Autohotkey V2,https://rosettacode.org/wiki/Autohotkey_V2,,0
Avail,https://rosettacode.org/wiki/Avail,,27
Axe,https://rosettacode.org/wiki/Axe,,91
Axiom,https://rosettacode.org/wiki/Axiom,,14
Axum,https://rosettacode.org/wiki/Axum,,0
Ayrch,https://rosettacode.org/wiki/Ayrch,,0
B,https://rosettacode.org/wiki/B,,5
B4J,https://rosettacode.org/wiki/B4J,,1
B4X,https://rosettacode.org/wiki/B4X,,4
BASIC,https://rosettacode.org/wiki/BASIC,,721
BASIC256,https://rosettacode.org/wiki/BASIC256,,505
BBC BASIC,https://rosettacode.org/wiki/BBC_BASIC,,591
BCPL,https://rosettacode.org/wiki/BCPL,,175
BLISS,https://rosettacode.org/wiki/BLISS,,0
BML,https://rosettacode.org/wiki/BML,,3
BQN,https://rosettacode.org/wiki/BQN,,309
BaCon,https://rosettacode.org/wiki/BaCon,,187
Babel,https://rosettacode.org/wiki/Babel,,37
BabyCobol,https://rosettacode.org/wiki/BabyCobol,,6
Bait,https://rosettacode.org/wiki/Bait,,9
Ballerina,https://rosettacode.org/wiki/Ballerina,,107
Bas,https://rosettacode.org/wiki/Bas,,1
Basic09,https://rosettacode.org/wiki/Basic09,,3
Batari Basic,https://rosettacode.org/wiki/Batari_Basic,,1
Batch File,https://rosettacode.org/wiki/Batch_File,,225
Battlestar,https://rosettacode.org/wiki/Battlestar,,3
Bc,https://rosettacode.org/wiki/Bc,,116
Beads,https://rosettacode.org/wiki/Beads,,17
Beef,https://rosettacode.org/wiki/Beef,,12
Beeswax,https://rosettacode.org/wiki/Beeswax,,20
Befunge,https://rosettacode.org/wiki/Befunge,,169
Berkeley Logo,https://rosettacode.org/wiki/Berkeley_Logo,,5
Beta,https://rosettacode.org/wiki/Beta,,0
Biferno,https://rosettacode.org/wiki/Biferno,,1
Binary Lambda Calculus,https://rosettacode.org/wiki/Binary_Lambda_Calculus,,53
Bird,https://rosettacode.org/wiki/Bird,,2
Blade,https://rosettacode.org/wiki/Blade,,5
Blast,https://rosettacode.org/wiki/Blast,,4
BlitzMax,https://rosettacode.org/wiki/BlitzMax,,7
BlooP,https://rosettacode.org/wiki/BlooP,,4
Blue,https://rosettacode.org/wiki/Blue,,7
Blz,https://rosettacode.org/wiki/Blz,,10
Boo,https://rosettacode.org/wiki/Boo,,6
BootBASIC,https://rosettacode.org/wiki/BootBASIC,,11
Bori,https://rosettacode.org/wiki/Bori,,4
Brace,https://rosettacode.org/wiki/Brace,,2
Bracmat,https://rosettacode.org/wiki/Bracmat,,306
Brainf***,https://rosettacode.org/wiki/Brainf***,,41
Brat,https://rosettacode.org/wiki/Brat,,65
Brlcad,https://rosettacode.org/wiki/Brlcad,,9
Bruijn,https://rosettacode.org/wiki/Bruijn,,38
Burlesque,https://rosettacode.org/wiki/Burlesque,,70
C,https://rosettacode.org/wiki/C,,1325
C Shell,https://rosettacode.org/wiki/C_Shell,,31
C sharp,https://rosettacode.org/wiki/C_sharp,,1076
C++,https://rosettacode.org/wiki/C++,,1474
C++/CLI,https://rosettacode.org/wiki/C++/CLI,,4
C0H,https://rosettacode.org/wiki/C0H,,0
C1R,https://rosettacode.org/wiki/C1R,,3
C2,https://rosettacode.org/wiki/C2,,1
C3,https://rosettacode.org/wiki/C3,,18
CB80,https://rosettacode.org/wiki/CB80,,0
CBASIC,https://rosettacode.org/wiki/CBASIC,,10
CFEngine,https://rosettacode.org/wiki/CFEngine,,7
CHR,https://rosettacode.org/wiki/CHR,,2
CJam,https://rosettacode.org/wiki/CJam,,2
CLIPS,https://rosettacode.org/wiki/CLIPS,,8
CLU,https://rosettacode.org/wiki/CLU,,246
CMake,https://rosettacode.org/wiki/CMake,,27
COBOL,https://rosettacode.org/wiki/COBOL,,375
Caché ObjectScript,https://rosettacode.org/wiki/Caché_ObjectScript,,46
CafeOBJ,https://rosettacode.org/wiki/CafeOBJ,,3
Calcscript,https://rosettacode.org/wiki/Calcscript,,8
Caml,https://rosettacode.org/wiki/Caml,,0
Casio BASIC,https://rosettacode.org/wiki/Casio_BASIC,,3
Cat,https://rosettacode.org/wiki/Cat,,3
Cduce,https://rosettacode.org/wiki/Cduce,,2
Cecil,https://rosettacode.org/wiki/Cecil,,0
Ceylon,https://rosettacode.org/wiki/Ceylon,,94
Chapel,https://rosettacode.org/wiki/Chapel,,44
Chef,https://rosettacode.org/wiki/Chef,,15
Cherrycake,https://rosettacode.org/wiki/Cherrycake,,3
Chipmunk Basic,https://rosettacode.org/wiki/Chipmunk_Basic,,227
ChucK,https://rosettacode.org/wiki/ChucK,,19
Cilk,https://rosettacode.org/wiki/Cilk,,0
Cilk++,https://rosettacode.org/wiki/Cilk++,,0
Cind,https://rosettacode.org/wiki/Cind,,4
Clarion,https://rosettacode.org/wiki/Clarion,,1
Clay,https://rosettacode.org/wiki/Clay,,9
Clean,https://rosettacode.org/wiki/Clean,,23
Clio,https://rosettacode.org/wiki/Clio,,8
Clipper,https://rosettacode.org/wiki/Clipper,,23
Clipper/XBase++,https://rosettacode.org/wiki/Clipper/XBase++,,2
Clojure,https://rosettacode.org/wiki/Clojure,,648
Cobra,https://rosettacode.org/wiki/Cobra,,4
Coco,https://rosettacode.org/wiki/Coco,,11
Coconut,https://rosettacode.org/wiki/Coconut,,1
CoffeeScript,https://rosettacode.org/wiki/CoffeeScript,,219
ColdFusion,https://rosettacode.org/wiki/ColdFusion,,59
Comal,https://rosettacode.org/wiki/Comal,,36
Comefrom0x10,https://rosettacode.org/wiki/Comefrom0x10,,6
Commodore BASIC,https://rosettacode.org/wiki/Commodore_BASIC,,162
Common Lisp,https://rosettacode.org/wiki/Common_Lisp,,785
Component Pascal,https://rosettacode.org/wiki/Component_Pascal,,73
Computer/zero Assembly,https://rosettacode.org/wiki/Computer/zero_Assembly,,17
ContextFree,https://rosettacode.org/wiki/ContextFree,,3
Convex,https://rosettacode.org/wiki/Convex,,2
Corescript,https://rosettacode.org/wiki/Corescript,,4
Cowgol,https://rosettacode.org/wiki/Cowgol,,179
Crack,https://rosettacode.org/wiki/Crack,,4
Craft Basic,https://rosettacode.org/wiki/Craft_Basic,,72
Creative Basic,https://rosettacode.org/wiki/Creative_Basic,,11
Crystal,https://rosettacode.org/wiki/Crystal,,363
Cubescript,https://rosettacode.org/wiki/Cubescript,,4
Curry,https://rosettacode.org/wiki/Curry,,8
Curto,https://rosettacode.org/wiki/Curto,,3
D,https://rosettacode.org/wiki/D,,995
DBL,https://rosettacode.org/wiki/DBL,,19
DCL,https://rosettacode.org/wiki/DCL,,45
DDNC,https://rosettacode.org/wiki/DDNC,,1
DIBOL-11,https://rosettacode.org/wiki/DIBOL-11,,6
DIV Games Studio,https://rosettacode.org/wiki/DIV_Games_Studio,,1
DM,https://rosettacode.org/wiki/DM,,6
DMS,https://rosettacode.org/wiki/DMS,,2
DUP,https://rosettacode.org/wiki/DUP,,6
DWScript,https://rosettacode.org/wiki/DWScript,,100
Dafny,https://rosettacode.org/wiki/Dafny,,4
Dao,https://rosettacode.org/wiki/Dao,,11
Dart,https://rosettacode.org/wiki/Dart,,251
DataWeave,https://rosettacode.org/wiki/DataWeave,,3
Datalog,https://rosettacode.org/wiki/Datalog,,3
Dc,https://rosettacode.org/wiki/Dc,,90
Delphi,https://rosettacode.org/wiki/Delphi,,948
Deluge,https://rosettacode.org/wiki/Deluge,,2
DeviousYarn,https://rosettacode.org/wiki/DeviousYarn,,2
Diego,https://rosettacode.org/wiki/Diego,,30
Diesel,https://rosettacode.org/wiki/Diesel,,0
Dodo0,https://rosettacode.org/wiki/Dodo0,,3
Draco,https://rosettacode.org/wiki/Draco,,141
Dragon,https://rosettacode.org/wiki/Dragon,,20
DreamBerd,https://rosettacode.org/wiki/DreamBerd,,1
Dt,https://rosettacode.org/wiki/Dt,,11
DuckDB,https://rosettacode.org/wiki/DuckDB,,306
Dyalect,https://rosettacode.org/wiki/Dyalect,,136
Dylan,https://rosettacode.org/wiki/Dylan,,15
Dylan.NET,https://rosettacode.org/wiki/Dylan.NET,,5
Déjà Vu,https://rosettacode.org/wiki/Déjà_Vu,,105
E,https://rosettacode.org/wiki/E,,269
EC,https://rosettacode.org/wiki/EC,,7
ECL,https://rosettacode.org/wiki/ECL,,28
EDSAC order code,https://rosettacode.org/wiki/EDSAC_order_code,,68
EGL,https://rosettacode.org/wiki/EGL,,31
ELLA,https://rosettacode.org/wiki/ELLA,,2
EMal,https://rosettacode.org/wiki/EMal,,120
ERRE,https://rosettacode.org/wiki/ERRE,,184
ESQL,https://rosettacode.org/wiki/ESQL,,1
EasyLang,https://rosettacode.org/wiki/EasyLang,,1061
EchoLisp,https://rosettacode.org/wiki/EchoLisp,,303
Ecstasy,https://rosettacode.org/wiki/Ecstasy,,64
Ed,https://rosettacode.org/wiki/Ed,,100
Eero,https://rosettacode.org/wiki/Eero,,9
Efene,https://rosettacode.org/wiki/Efene,,14
Egel,https://rosettacode.org/wiki/Egel,,12
Egison,https://rosettacode.org/wiki/Egison,,8
EhBASIC,https://rosettacode.org/wiki/EhBASIC,,0
Eiffel,https://rosettacode.org/wiki/Eiffel,,159
Ela,https://rosettacode.org/wiki/Ela,,66
Elan,https://rosettacode.org/wiki/Elan,,2
ElastiC,https://rosettacode.org/wiki/ElastiC,,1
Elena,https://rosettacode.org/wiki/Elena,,245
Elisa,https://rosettacode.org/wiki/Elisa,,7
Elixir,https://rosettacode.org/wiki/Elixir,,550
Elm,https://rosettacode.org/wiki/Elm,,50
Emacs Lisp,https://rosettacode.org/wiki/Emacs_Lisp,,207
Emojicode,https://rosettacode.org/wiki/Emojicode,,4
Enguage,https://rosettacode.org/wiki/Enguage,,2
Epigram,https://rosettacode.org/wiki/Epigram,,0
Epoxy,https://rosettacode.org/wiki/Epoxy,,5
Erlang,https://rosettacode.org/wiki/Erlang,,534
Es,https://rosettacode.org/wiki/Es,,8
Euler,https://rosettacode.org/wiki/Euler,,19
Euphoria,https://rosettacode.org/wiki/Euphoria,,234
Evaldraw,https://rosettacode.org/wiki/Evaldraw,,16
Excel,https://rosettacode.org/wiki/Excel,,84
Explore,https://rosettacode.org/wiki/Explore,,3
Extended BrainF***,https://rosettacode.org/wiki/Extended_BrainF***,,2
Extended Color BASIC,https://rosettacode.org/wiki/Extended_Color_BASIC,,6
Ezhil,https://rosettacode.org/wiki/Ezhil,,13
F,https://rosettacode.org/wiki/F,,2
F Sharp,https://rosettacode.org/wiki/F_Sharp,,883
FALSE,https://rosettacode.org/wiki/FALSE,,57
FAUST,https://rosettacode.org/wiki/FAUST,,0
FBSL,https://rosettacode.org/wiki/FBSL,,56
FLORA-2,https://rosettacode.org/wiki/FLORA-2,,0
FOCAL,https://rosettacode.org/wiki/FOCAL,,64
FP,https://rosettacode.org/wiki/FP,,1
FPI,https://rosettacode.org/wiki/FPI,,0
FRISC Assembly,https://rosettacode.org/wiki/FRISC_Assembly,,1
FTCBASIC,https://rosettacode.org/wiki/FTCBASIC,,11
FUZE BASIC,https://rosettacode.org/wiki/FUZE_BASIC,,7
Factor,https://rosettacode.org/wiki/Factor,,1004
Falcon,https://rosettacode.org/wiki/Falcon,,35
Fan,https://rosettacode.org/wiki/Fan,,5
Fancy,https://rosettacode.org/wiki/Fancy,,15
Fantom,https://rosettacode.org/wiki/Fantom,,150
Fe,https://rosettacode.org/wiki/Fe,,13
FeatureC++,https://rosettacode.org/wiki/FeatureC++,,0
Felix,https://rosettacode.org/wiki/Felix,,2
Fennel,https://rosettacode.org/wiki/Fennel,,63
Ferite,https://rosettacode.org/wiki/Ferite,,2
Fermat,https://rosettacode.org/wiki/Fermat,,91
Fexl,https://rosettacode.org/wiki/Fexl,,6
Fhidwfe,https://rosettacode.org/wiki/Fhidwfe,,4
Fish,https://rosettacode.org/wiki/Fish,,21
Florid,https://rosettacode.org/wiki/Florid,,0
FormulaOne,https://rosettacode.org/wiki/FormulaOne,,1
Forth,https://rosettacode.org/wiki/Forth,,641
Fortran,https://rosettacode.org/wiki/Fortran,,753
Fortress,https://rosettacode.org/wiki/Fortress,,6
Free Pascal,https://rosettacode.org/wiki/Free_Pascal,"Free Pascal Compiler (FPC for short) is a free and open-source Pascal and Object Pascal compiler.
Free Pascal fully or partially supports the dialects of many other Pascal compilers, including those of Turbo Pascal (up to version 7), Delphi, as well as some compilers that were available on the Macintosh. More than one dialect may be used to produce a single program. Free Pascal also supports the ISO/IEC 7185 Pascal standard.
A member of the write once, compile anywhere campaign, Free Pascal is available on many architectures and operating systems. It has an excellent support for integration of assembly language, and supports internal assembler in a number of dialects.
Separate projects exist to facilitate the development of cross-platform graphical applications, the most prominent one being the Lazarus IDE.",212
FreeBASIC,https://rosettacode.org/wiki/FreeBASIC,,1686
FreeMat,https://rosettacode.org/wiki/FreeMat,,0
Frege,https://rosettacode.org/wiki/Frege,,11
Friendly interactive shell,https://rosettacode.org/wiki/Friendly_interactive_shell,,15
Frink,https://rosettacode.org/wiki/Frink,,289
FunL,https://rosettacode.org/wiki/FunL,,90
FuncSug,https://rosettacode.org/wiki/FuncSug,,8
Furor,https://rosettacode.org/wiki/Furor,,22
FurryScript,https://rosettacode.org/wiki/FurryScript,,2
Futhark,https://rosettacode.org/wiki/Futhark,,37
FutureBasic,https://rosettacode.org/wiki/FutureBasic,,728
Fōrmulæ,https://rosettacode.org/wiki/Fōrmulæ,,210
