rosettacode_name,rosettacode_url,matched,master_row_index
.QL,https://rosettacode.org/wiki/.QL,True,2356.0
0815,https://rosettacode.org/wiki/0815,True,19.0
11l,https://rosettacode.org/wiki/11l,False,
1C,https://rosettacode.org/wiki/1C,True,65.0
360 Assembly,https://rosettacode.org/wiki/360_Assembly,False,
4D,https://rosettacode.org/wiki/4D,True,179.0
4DOS Batch,https://rosettacode.org/wiki/4DOS_Batch,True,6934.0
4ME,https://rosettacode.org/wiki/4ME,True,187.0
6502 Assembly,https://rosettacode.org/wiki/6502_Assembly,False,
6800 Assembly,https://rosettacode.org/wiki/6800_Assembly,False,
68000 Assembly,https://rosettacode.org/wiki/68000_Assembly,False,
8 1/2,https://rosettacode.org/wiki/8_1/2,False,
80386 Assembly,https://rosettacode.org/wiki/80386_Assembly,False,
8051 Assembly,https://rosettacode.org/wiki/8051_Assembly,False,
8080 Assembly,https://rosettacode.org/wiki/8080_Assembly,False,
8086 Assembly,https://rosettacode.org/wiki/8086_Assembly,False,
8th,https://rosettacode.org/wiki/8th,True,227.0
A+,https://rosettacode.org/wiki/A+,True,242.0
AArch64 Assembly,https://rosettacode.org/wiki/AArch64_Assembly,False,
ABAP,https://rosettacode.org/wiki/ABAP,True,295.0
ABC,https://rosettacode.org/wiki/ABC,True,299.0
ACL2,https://rosettacode.org/wiki/ACL2,True,344.0
AHDL,https://rosettacode.org/wiki/AHDL,False,
AIDED NATURAL LANGUAGE,https://rosettacode.org/wiki/AIDED_NATURAL_LANGUAGE,False,
ALGOL,https://rosettacode.org/wiki/ALGOL,True,301.0
ALGOL 60,https://rosettacode.org/wiki/ALGOL_60,True,524.0
ALGOL 68,https://rosettacode.org/wiki/ALGOL_68,True,525.0
ALGOL W,https://rosettacode.org/wiki/ALGOL_W,True,529.0
ALGOL-M,https://rosettacode.org/wiki/ALGOL-M,False,
AMPL,https://rosettacode.org/wiki/AMPL,True,620.0
ANSI BASIC,https://rosettacode.org/wiki/ANSI_BASIC,True,675.0
ANT,https://rosettacode.org/wiki/ANT,True,677.0
ANTLR,https://rosettacode.org/wiki/ANTLR,True,691.0
APL,https://rosettacode.org/wiki/APL,True,717.0
ARM Assembly,https://rosettacode.org/wiki/ARM_Assembly,False,
ASIC,https://rosettacode.org/wiki/ASIC,True,534.0
ASP,https://rosettacode.org/wiki/ASP,True,863.0
ASP.Net,https://rosettacode.org/wiki/ASP.Net,True,864.0
ATS,https://rosettacode.org/wiki/ATS,True,912.0
AWK,https://rosettacode.org/wiki/AWK,True,968.0
Acornsoft Lisp,https://rosettacode.org/wiki/Acornsoft_Lisp,False,
Action!,https://rosettacode.org/wiki/Action!,True,362.0
ActionScript,https://rosettacode.org/wiki/ActionScript,True,366.0
Acurity Architect,https://rosettacode.org/wiki/Acurity_Architect,False,
Ada,https://rosettacode.org/wiki/Ada,True,376.0
Adina,https://rosettacode.org/wiki/Adina,False,
Agda,https://rosettacode.org/wiki/Agda,True,439.0
Agda2,https://rosettacode.org/wiki/Agda2,False,
Agena,https://rosettacode.org/wiki/Agena,False,
Aikido,https://rosettacode.org/wiki/Aikido,False,
Aime,https://rosettacode.org/wiki/Aime,True,464.0
Algae,https://rosettacode.org/wiki/Algae,True,511.0
Alice ML,https://rosettacode.org/wiki/Alice_ML,False,
Alore,https://rosettacode.org/wiki/Alore,False,
Amazing Hopper,https://rosettacode.org/wiki/Amazing_Hopper,False,
AmbientTalk,https://rosettacode.org/wiki/AmbientTalk,True,596.0
AmigaBASIC,https://rosettacode.org/wiki/AmigaBASIC,True,610.0
AmigaE,https://rosettacode.org/wiki/AmigaE,True,608.0
AngelScript,https://rosettacode.org/wiki/AngelScript,True,657.0
Anyways,https://rosettacode.org/wiki/Anyways,True,696.0
Apex,https://rosettacode.org/wiki/Apex,True,713.0
App Inventor,https://rosettacode.org/wiki/App_Inventor,False,
Apple,https://rosettacode.org/wiki/Apple,True,740.0
AppleScript,https://rosettacode.org/wiki/AppleScript,True,745.0
Applesoft BASIC,https://rosettacode.org/wiki/Applesoft_BASIC,True,746.0
Application Master,https://rosettacode.org/wiki/Application_Master,False,
Apricot,https://rosettacode.org/wiki/Apricot,False,
Aquarius BASIC,https://rosettacode.org/wiki/Aquarius_BASIC,False,
Arbre,https://rosettacode.org/wiki/Arbre,False,
Arc,https://rosettacode.org/wiki/Arc,True,767.0
Arendelle,https://rosettacode.org/wiki/Arendelle,False,
Argile,https://rosettacode.org/wiki/Argile,False,
Aria,https://rosettacode.org/wiki/Aria,False,
ArkScript,https://rosettacode.org/wiki/ArkScript,True,795.0
ArnoldC,https://rosettacode.org/wiki/ArnoldC,True,804.0
Arturo,https://rosettacode.org/wiki/Arturo,True,830.0
AsciiDots,https://rosettacode.org/wiki/AsciiDots,True,841.0
AspectC++,https://rosettacode.org/wiki/AspectC++,False,
AspectJ,https://rosettacode.org/wiki/AspectJ,True,867.0
Assembly,https://rosettacode.org/wiki/Assembly,True,711.0
AssemblyScript,https://rosettacode.org/wiki/AssemblyScript,True,880.0
Astro,https://rosettacode.org/wiki/Astro,True,890.0
Asymptote,https://rosettacode.org/wiki/Asymptote,True,894.0
Atari BASIC,https://rosettacode.org/wiki/Atari_BASIC,True,897.0
AutoHotKey V2,https://rosettacode.org/wiki/AutoHotKey_V2,False,
AutoHotkey,https://rosettacode.org/wiki/AutoHotkey,True,945.0
AutoIt,https://rosettacode.org/wiki/AutoIt,True,946.0
AutoLISP,https://rosettacode.org/wiki/AutoLISP,True,947.0
Autohotkey V2,https://rosettacode.org/wiki/Autohotkey_V2,False,
Avail,https://rosettacode.org/wiki/Avail,True,959.0
Axe,https://rosettacode.org/wiki/Axe,False,
Axiom,https://rosettacode.org/wiki/Axiom,True,975.0
Axum,https://rosettacode.org/wiki/Axum,True,980.0
Ayrch,https://rosettacode.org/wiki/Ayrch,False,
B,https://rosettacode.org/wiki/B,True,86.0
B4J,https://rosettacode.org/wiki/B4J,False,
B4X,https://rosettacode.org/wiki/B4X,True,1003.0
BASIC,https://rosettacode.org/wiki/BASIC,True,272.0
BASIC256,https://rosettacode.org/wiki/BASIC256,True,1085.0
BBC BASIC,https://rosettacode.org/wiki/BBC_BASIC,True,1125.0
BCPL,https://rosettacode.org/wiki/BCPL,True,1135.0
BLISS,https://rosettacode.org/wiki/BLISS,True,1410.0
BML,https://rosettacode.org/wiki/BML,True,1444.0
BQN,https://rosettacode.org/wiki/BQN,True,1520.0
BaCon,https://rosettacode.org/wiki/BaCon,False,
Babel,https://rosettacode.org/wiki/Babel,True,1012.0
BabyCobol,https://rosettacode.org/wiki/BabyCobol,False,
Bait,https://rosettacode.org/wiki/Bait,False,
Ballerina,https://rosettacode.org/wiki/Ballerina,True,1048.0
Bas,https://rosettacode.org/wiki/Bas,False,
Basic09,https://rosettacode.org/wiki/Basic09,True,1094.0
Batari Basic,https://rosettacode.org/wiki/Batari_Basic,True,1106.0
Batch File,https://rosettacode.org/wiki/Batch_File,True,1108.0
Battlestar,https://rosettacode.org/wiki/Battlestar,True,1111.0
Bc,https://rosettacode.org/wiki/Bc,True,246.0
Beads,https://rosettacode.org/wiki/Beads,True,1141.0
Beef,https://rosettacode.org/wiki/Beef,True,1164.0
Beeswax,https://rosettacode.org/wiki/Beeswax,True,1171.0
Befunge,https://rosettacode.org/wiki/Befunge,True,1182.0
Berkeley Logo,https://rosettacode.org/wiki/Berkeley_Logo,False,
Beta,https://rosettacode.org/wiki/Beta,True,1208.0
Biferno,https://rosettacode.org/wiki/Biferno,True,1267.0
Binary Lambda Calculus,https://rosettacode.org/wiki/Binary_Lambda_Calculus,True,1298.0
Bird,https://rosettacode.org/wiki/Bird,True,1325.0
Blade,https://rosettacode.org/wiki/Blade,True,1392.0
Blast,https://rosettacode.org/wiki/Blast,True,1399.0
BlitzMax,https://rosettacode.org/wiki/BlitzMax,True,1413.0
BlooP,https://rosettacode.org/wiki/BlooP,True,1423.0
Blue,https://rosettacode.org/wiki/Blue,True,1430.0
Blz,https://rosettacode.org/wiki/Blz,True,1442.0
Boo,https://rosettacode.org/wiki/Boo,True,1466.0
BootBASIC,https://rosettacode.org/wiki/BootBASIC,False,
Bori,https://rosettacode.org/wiki/Bori,False,
Brace,https://rosettacode.org/wiki/Brace,True,5941.0
Bracmat,https://rosettacode.org/wiki/Bracmat,False,
Brainf***,https://rosettacode.org/wiki/Brainf***,True,1571.0
Brat,https://rosettacode.org/wiki/Brat,False,
Brlcad,https://rosettacode.org/wiki/Brlcad,False,
Bruijn,https://rosettacode.org/wiki/Bruijn,True,1727.0
Burlesque,https://rosettacode.org/wiki/Burlesque,True,1777.0
C,https://rosettacode.org/wiki/C,True,244.0
C Shell,https://rosettacode.org/wiki/C_Shell,True,1840.0
C sharp,https://rosettacode.org/wiki/C_sharp,True,1838.0
C++,https://rosettacode.org/wiki/C++,True,863.0
C++/CLI,https://rosettacode.org/wiki/C++/CLI,False,
C0H,https://rosettacode.org/wiki/C0H,False,
C1R,https://rosettacode.org/wiki/C1R,False,
C2,https://rosettacode.org/wiki/C2,True,1845.0
C3,https://rosettacode.org/wiki/C3,True,1847.0
CB80,https://rosettacode.org/wiki/CB80,False,
CBASIC,https://rosettacode.org/wiki/CBASIC,True,2036.0
CFEngine,https://rosettacode.org/wiki/CFEngine,True,2082.0
CHR,https://rosettacode.org/wiki/CHR,True,2187.0
CJam,https://rosettacode.org/wiki/CJam,True,2230.0
CLIPS,https://rosettacode.org/wiki/CLIPS,True,2280.0
CLU,https://rosettacode.org/wiki/CLU,True,2301.0
CMake,https://rosettacode.org/wiki/CMake,True,2310.0
COBOL,https://rosettacode.org/wiki/COBOL,True,2324.0
Caché ObjectScript,https://rosettacode.org/wiki/Caché_ObjectScript,True,1858.0
CafeOBJ,https://rosettacode.org/wiki/CafeOBJ,True,1867.0
Calcscript,https://rosettacode.org/wiki/Calcscript,True,1894.0
Caml,https://rosettacode.org/wiki/Caml,True,1902.0
Casio BASIC,https://rosettacode.org/wiki/Casio_BASIC,True,1952.0
Cat,https://rosettacode.org/wiki/Cat,True,1958.0
Cduce,https://rosettacode.org/wiki/Cduce,False,
Cecil,https://rosettacode.org/wiki/Cecil,True,2056.0
Ceylon,https://rosettacode.org/wiki/Ceylon,True,2080.0
Chapel,https://rosettacode.org/wiki/Chapel,True,2112.0
Chef,https://rosettacode.org/wiki/Chef,True,1488.0
Cherrycake,https://rosettacode.org/wiki/Cherrycake,False,
Chipmunk Basic,https://rosettacode.org/wiki/Chipmunk_Basic,True,2176.0
ChucK,https://rosettacode.org/wiki/ChucK,True,1697.0
Cilk,https://rosettacode.org/wiki/Cilk,True,2204.0
Cilk++,https://rosettacode.org/wiki/Cilk++,False,
Cind,https://rosettacode.org/wiki/Cind,False,
Clarion,https://rosettacode.org/wiki/Clarion,True,2243.0
Clay,https://rosettacode.org/wiki/Clay,True,2256.0
Clean,https://rosettacode.org/wiki/Clean,True,2260.0
Clio,https://rosettacode.org/wiki/Clio,False,
Clipper,https://rosettacode.org/wiki/Clipper,True,2278.0
Clipper/XBase++,https://rosettacode.org/wiki/Clipper/XBase++,False,
Clojure,https://rosettacode.org/wiki/Clojure,True,2290.0
Cobra,https://rosettacode.org/wiki/Cobra,True,2328.0
Coco,https://rosettacode.org/wiki/Coco,True,2331.0
Coconut,https://rosettacode.org/wiki/Coconut,True,2335.0
CoffeeScript,https://rosettacode.org/wiki/CoffeeScript,True,2369.0
ColdFusion,https://rosettacode.org/wiki/ColdFusion,True,2384.0
Comal,https://rosettacode.org/wiki/Comal,True,2397.0
Comefrom0x10,https://rosettacode.org/wiki/Comefrom0x10,True,2405.0
Commodore BASIC,https://rosettacode.org/wiki/Commodore_BASIC,True,2412.0
Common Lisp,https://rosettacode.org/wiki/Common_Lisp,True,2414.0
Component Pascal,https://rosettacode.org/wiki/Component_Pascal,True,2432.0
Computer/zero Assembly,https://rosettacode.org/wiki/Computer/zero_Assembly,False,
ContextFree,https://rosettacode.org/wiki/ContextFree,False,
Convex,https://rosettacode.org/wiki/Convex,False,
Corescript,https://rosettacode.org/wiki/Corescript,True,2541.0
Cowgol,https://rosettacode.org/wiki/Cowgol,False,
Crack,https://rosettacode.org/wiki/Crack,True,2590.0
Craft Basic,https://rosettacode.org/wiki/Craft_Basic,False,
Creative Basic,https://rosettacode.org/wiki/Creative_Basic,True,2603.0
Crystal,https://rosettacode.org/wiki/Crystal,True,2624.0
Cubescript,https://rosettacode.org/wiki/Cubescript,False,
Curry,https://rosettacode.org/wiki/Curry,True,2686.0
Curto,https://rosettacode.org/wiki/Curto,False,
D,https://rosettacode.org/wiki/D,True,54.0
DBL,https://rosettacode.org/wiki/DBL,False,
DCL,https://rosettacode.org/wiki/DCL,False,
DDNC,https://rosettacode.org/wiki/DDNC,False,
DIBOL-11,https://rosettacode.org/wiki/DIBOL-11,False,
DIV Games Studio,https://rosettacode.org/wiki/DIV_Games_Studio,False,
DM,https://rosettacode.org/wiki/DM,True,3049.0
DMS,https://rosettacode.org/wiki/DMS,False,
DUP,https://rosettacode.org/wiki/DUP,True,3179.0
DWScript,https://rosettacode.org/wiki/DWScript,True,3152.0
Dafny,https://rosettacode.org/wiki/Dafny,True,2737.0
Dao,https://rosettacode.org/wiki/Dao,False,
Dart,https://rosettacode.org/wiki/Dart,True,2766.0
DataWeave,https://rosettacode.org/wiki/DataWeave,True,2802.0
Datalog,https://rosettacode.org/wiki/Datalog,True,368.0
Dc,https://rosettacode.org/wiki/Dc,True,8.0
Delphi,https://rosettacode.org/wiki/Delphi,True,2348.0
Deluge,https://rosettacode.org/wiki/Deluge,False,
DeviousYarn,https://rosettacode.org/wiki/DeviousYarn,False,
Diego,https://rosettacode.org/wiki/Diego,False,
Diesel,https://rosettacode.org/wiki/Diesel,False,
Dodo0,https://rosettacode.org/wiki/Dodo0,False,
Draco,https://rosettacode.org/wiki/Draco,True,3128.0
Dragon,https://rosettacode.org/wiki/Dragon,True,3132.0
DreamBerd,https://rosettacode.org/wiki/DreamBerd,False,
Dt,https://rosettacode.org/wiki/Dt,False,
DuckDB,https://rosettacode.org/wiki/DuckDB,False,
Dyalect,https://rosettacode.org/wiki/Dyalect,False,
Dylan,https://rosettacode.org/wiki/Dylan,True,3189.0
Dylan.NET,https://rosettacode.org/wiki/Dylan.NET,False,
Déjà Vu,https://rosettacode.org/wiki/Déjà_Vu,True,3043.0
E,https://rosettacode.org/wiki/E,True,255.0
EC,https://rosettacode.org/wiki/EC,True,3236.0
ECL,https://rosettacode.org/wiki/ECL,True,3243.0
EDSAC order code,https://rosettacode.org/wiki/EDSAC_order_code,False,
EGL,https://rosettacode.org/wiki/EGL,True,3292.0
ELLA,https://rosettacode.org/wiki/ELLA,False,
EMal,https://rosettacode.org/wiki/EMal,False,
ERRE,https://rosettacode.org/wiki/ERRE,False,
ESQL,https://rosettacode.org/wiki/ESQL,False,
EasyLang,https://rosettacode.org/wiki/EasyLang,False,
EchoLisp,https://rosettacode.org/wiki/EchoLisp,False,
Ecstasy,https://rosettacode.org/wiki/Ecstasy,False,
Ed,https://rosettacode.org/wiki/Ed,True,3257.0
Eero,https://rosettacode.org/wiki/Eero,False,
Efene,https://rosettacode.org/wiki/Efene,False,
Egel,https://rosettacode.org/wiki/Egel,True,3290.0
Egison,https://rosettacode.org/wiki/Egison,True,3291.0
EhBASIC,https://rosettacode.org/wiki/EhBASIC,True,4586.0
Eiffel,https://rosettacode.org/wiki/Eiffel,True,3299.0
Ela,https://rosettacode.org/wiki/Ela,False,
Elan,https://rosettacode.org/wiki/Elan,True,3307.0
ElastiC,https://rosettacode.org/wiki/ElastiC,True,3310.0
Elena,https://rosettacode.org/wiki/Elena,True,3320.0
Elisa,https://rosettacode.org/wiki/Elisa,False,
Elixir,https://rosettacode.org/wiki/Elixir,True,3329.0
Elm,https://rosettacode.org/wiki/Elm,True,3336.0
Emacs Lisp,https://rosettacode.org/wiki/Emacs_Lisp,True,3347.0
Emojicode,https://rosettacode.org/wiki/Emojicode,True,3367.0
Enguage,https://rosettacode.org/wiki/Enguage,True,5960.0
Epigram,https://rosettacode.org/wiki/Epigram,True,3427.0
Epoxy,https://rosettacode.org/wiki/Epoxy,False,
Erlang,https://rosettacode.org/wiki/Erlang,True,3446.0
Es,https://rosettacode.org/wiki/Es,True,3455.0
Euler,https://rosettacode.org/wiki/Euler,True,3515.0
Euphoria,https://rosettacode.org/wiki/Euphoria,True,3520.0
Evaldraw,https://rosettacode.org/wiki/Evaldraw,False,
Excel,https://rosettacode.org/wiki/Excel,True,3549.0
Explore,https://rosettacode.org/wiki/Explore,True,3579.0
Extended BrainF***,https://rosettacode.org/wiki/Extended_BrainF***,False,
Extended Color BASIC,https://rosettacode.org/wiki/Extended_Color_BASIC,False,
Ezhil,https://rosettacode.org/wiki/Ezhil,True,3602.0
F,https://rosettacode.org/wiki/F,True,309.0
F Sharp,https://rosettacode.org/wiki/F_Sharp,True,3611.0
FALSE,https://rosettacode.org/wiki/FALSE,True,0.0
FAUST,https://rosettacode.org/wiki/FAUST,True,3662.0
FBSL,https://rosettacode.org/wiki/FBSL,False,
FLORA-2,https://rosettacode.org/wiki/FLORA-2,False,
FOCAL,https://rosettacode.org/wiki/FOCAL,True,3839.0
FP,https://rosettacode.org/wiki/FP,True,3935.0
FPI,https://rosettacode.org/wiki/FPI,False,
FRISC Assembly,https://rosettacode.org/wiki/FRISC_Assembly,False,
FTCBASIC,https://rosettacode.org/wiki/FTCBASIC,False,
FUZE BASIC,https://rosettacode.org/wiki/FUZE_BASIC,False,
Factor,https://rosettacode.org/wiki/Factor,True,3622.0
Falcon,https://rosettacode.org/wiki/Falcon,True,3633.0
Fan,https://rosettacode.org/wiki/Fan,False,
Fancy,https://rosettacode.org/wiki/Fancy,True,3639.0
Fantom,https://rosettacode.org/wiki/Fantom,True,3642.0
Fe,https://rosettacode.org/wiki/Fe,True,3671.0
FeatureC++,https://rosettacode.org/wiki/FeatureC++,False,
Felix,https://rosettacode.org/wiki/Felix,True,3678.0
Fennel,https://rosettacode.org/wiki/Fennel,True,3682.0
Ferite,https://rosettacode.org/wiki/Ferite,True,3683.0
Fermat,https://rosettacode.org/wiki/Fermat,False,
Fexl,https://rosettacode.org/wiki/Fexl,False,
Fhidwfe,https://rosettacode.org/wiki/Fhidwfe,False,
Fish,https://rosettacode.org/wiki/Fish,True,486.0
Florid,https://rosettacode.org/wiki/Florid,False,
FormulaOne,https://rosettacode.org/wiki/FormulaOne,False,
Forth,https://rosettacode.org/wiki/Forth,True,3898.0
Fortran,https://rosettacode.org/wiki/Fortran,True,2059.0
Fortress,https://rosettacode.org/wiki/Fortress,True,3915.0
Free Pascal,https://rosettacode.org/wiki/Free_Pascal,True,3958.0
FreeBASIC,https://rosettacode.org/wiki/FreeBASIC,True,3959.0
FreeMat,https://rosettacode.org/wiki/FreeMat,False,
Frege,https://rosettacode.org/wiki/Frege,True,3965.0
Friendly interactive shell,https://rosettacode.org/wiki/Friendly_interactive_shell,True,3968.0
Frink,https://rosettacode.org/wiki/Frink,True,3971.0
FunL,https://rosettacode.org/wiki/FunL,True,4042.0
FuncSug,https://rosettacode.org/wiki/FuncSug,False,
Furor,https://rosettacode.org/wiki/Furor,False,
FurryScript,https://rosettacode.org/wiki/FurryScript,False,
Futhark,https://rosettacode.org/wiki/Futhark,True,4050.0
FutureBasic,https://rosettacode.org/wiki/FutureBasic,True,4052.0
Fōrmulæ,https://rosettacode.org/wiki/Fōrmulæ,False,
G-fu,https://rosettacode.org/wiki/G-fu,True,4072.0
GAP,https://rosettacode.org/wiki/GAP,True,4098.0
GB BASIC,https://rosettacode.org/wiki/GB_BASIC,False,
GDScript,https://rosettacode.org/wiki/GDScript,True,4126.0
GEORGE,https://rosettacode.org/wiki/GEORGE,True,4193.0
GFA Basic,https://rosettacode.org/wiki/GFA_Basic,True,4207.0
